"subjID","trial","deck","loss","gain","Study","group_id"
1,1,1,-200,100,"Horstmann",1
1,2,1,-150,100,"Horstmann",1
1,3,2,0,100,"Horstmann",1
1,4,4,-250,50,"Horstmann",1
1,5,3,0,50,"Horstmann",1
1,6,2,0,100,"Horstmann",1
1,7,1,0,100,"Horstmann",1
1,8,2,0,100,"Horstmann",1
1,9,4,0,50,"Horstmann",1
1,10,2,0,100,"Horstmann",1
1,11,3,0,50,"Horstmann",1
1,12,3,0,50,"Horstmann",1
1,13,1,-300,100,"Horstmann",1
1,14,2,0,100,"Horstmann",1
1,15,2,-1250,100,"Horstmann",1
1,16,4,0,50,"Horstmann",1
1,17,3,-50,50,"Horstmann",1
1,18,1,0,100,"Horstmann",1
1,19,2,0,100,"Horstmann",1
1,20,4,0,50,"Horstmann",1
1,21,3,0,50,"Horstmann",1
1,22,4,0,50,"Horstmann",1
1,23,2,0,100,"Horstmann",1
1,24,1,0,100,"Horstmann",1
1,25,4,0,50,"Horstmann",1
1,26,1,0,100,"Horstmann",1
1,27,3,-50,50,"Horstmann",1
1,28,4,0,50,"Horstmann",1
1,29,2,0,100,"Horstmann",1
1,30,1,0,100,"Horstmann",1
1,31,2,0,100,"Horstmann",1
1,32,4,0,50,"Horstmann",1
1,33,1,-250,100,"Horstmann",1
1,34,3,-50,50,"Horstmann",1
1,35,4,0,50,"Horstmann",1
1,36,2,0,100,"Horstmann",1
1,37,1,-350,100,"Horstmann",1
1,38,2,0,100,"Horstmann",1
1,39,4,0,50,"Horstmann",1
1,40,3,0,50,"Horstmann",1
1,41,1,-300,100,"Horstmann",1
1,42,2,0,100,"Horstmann",1
1,43,4,0,50,"Horstmann",1
1,44,2,-1250,100,"Horstmann",1
1,45,1,0,100,"Horstmann",1
1,46,2,0,100,"Horstmann",1
1,47,4,0,50,"Horstmann",1
1,48,3,-50,50,"Horstmann",1
1,49,1,0,100,"Horstmann",1
1,50,2,0,100,"Horstmann",1
1,51,4,0,50,"Horstmann",1
1,52,3,-50,50,"Horstmann",1
1,53,1,0,100,"Horstmann",1
1,54,2,0,100,"Horstmann",1
1,55,4,-250,50,"Horstmann",1
1,56,3,0,50,"Horstmann",1
1,57,4,0,50,"Horstmann",1
1,58,2,0,100,"Horstmann",1
1,59,1,-150,100,"Horstmann",1
1,60,1,-200,100,"Horstmann",1
1,61,1,-350,100,"Horstmann",1
1,62,2,0,100,"Horstmann",1
1,63,2,0,100,"Horstmann",1
1,64,2,0,100,"Horstmann",1
1,65,2,0,100,"Horstmann",1
1,66,2,0,100,"Horstmann",1
1,67,2,0,100,"Horstmann",1
1,68,4,0,50,"Horstmann",1
1,69,2,0,100,"Horstmann",1
1,70,2,-1250,100,"Horstmann",1
1,71,3,0,50,"Horstmann",1
1,72,3,-50,50,"Horstmann",1
1,73,4,0,50,"Horstmann",1
1,74,2,0,100,"Horstmann",1
1,75,2,0,100,"Horstmann",1
1,76,2,0,100,"Horstmann",1
1,77,4,0,50,"Horstmann",1
1,78,2,0,100,"Horstmann",1
1,79,2,0,100,"Horstmann",1
1,80,3,0,50,"Horstmann",1
1,81,2,0,100,"Horstmann",1
1,82,2,0,100,"Horstmann",1
1,83,1,-250,100,"Horstmann",1
1,84,2,0,100,"Horstmann",1
1,85,2,0,100,"Horstmann",1
1,86,2,0,100,"Horstmann",1
1,87,4,0,50,"Horstmann",1
1,88,3,-50,50,"Horstmann",1
1,89,4,0,50,"Horstmann",1
1,90,2,-1250,100,"Horstmann",1
1,91,1,0,100,"Horstmann",1
1,92,1,0,100,"Horstmann",1
1,93,1,-350,100,"Horstmann",1
1,94,2,0,100,"Horstmann",1
1,95,2,0,100,"Horstmann",1
1,96,2,0,100,"Horstmann",1
1,97,4,0,50,"Horstmann",1
1,98,2,0,100,"Horstmann",1
1,99,4,0,50,"Horstmann",1
1,100,2,-1250,100,"Horstmann",1
2,1,2,0,100,"Horstmann",1
2,2,1,0,100,"Horstmann",1
2,3,4,0,50,"Horstmann",1
2,4,4,0,50,"Horstmann",1
2,5,3,0,50,"Horstmann",1
2,6,2,0,100,"Horstmann",1
2,7,3,-50,50,"Horstmann",1
2,8,2,0,100,"Horstmann",1
2,9,1,0,100,"Horstmann",1
2,10,2,0,100,"Horstmann",1
2,11,2,0,100,"Horstmann",1
2,12,4,0,50,"Horstmann",1
2,13,3,0,50,"Horstmann",1
2,14,1,-150,100,"Horstmann",1
2,15,2,0,100,"Horstmann",1
2,16,2,0,100,"Horstmann",1
2,17,4,0,50,"Horstmann",1
2,18,3,0,50,"Horstmann",1
2,19,1,0,100,"Horstmann",1
2,20,1,0,100,"Horstmann",1
2,21,3,-50,50,"Horstmann",1
2,22,2,0,100,"Horstmann",1
2,23,4,-250,50,"Horstmann",1
2,24,3,-50,50,"Horstmann",1
2,25,2,-1250,100,"Horstmann",1
2,26,1,0,100,"Horstmann",1
2,27,1,-200,100,"Horstmann",1
2,28,4,0,50,"Horstmann",1
2,29,2,0,100,"Horstmann",1
2,30,3,0,50,"Horstmann",1
2,31,2,-1250,100,"Horstmann",1
2,32,4,0,50,"Horstmann",1
2,33,1,-350,100,"Horstmann",1
2,34,3,-50,50,"Horstmann",1
2,35,2,0,100,"Horstmann",1
2,36,4,0,50,"Horstmann",1
2,37,1,-250,100,"Horstmann",1
2,38,3,0,50,"Horstmann",1
2,39,2,0,100,"Horstmann",1
2,40,4,0,50,"Horstmann",1
2,41,2,0,100,"Horstmann",1
2,42,4,0,50,"Horstmann",1
2,43,2,0,100,"Horstmann",1
2,44,4,0,50,"Horstmann",1
2,45,3,-50,50,"Horstmann",1
2,46,1,-300,100,"Horstmann",1
2,47,2,0,100,"Horstmann",1
2,48,4,0,50,"Horstmann",1
2,49,2,0,100,"Horstmann",1
2,50,4,0,50,"Horstmann",1
2,51,4,0,50,"Horstmann",1
2,52,2,0,100,"Horstmann",1
2,53,3,-50,50,"Horstmann",1
2,54,4,0,50,"Horstmann",1
2,55,2,0,100,"Horstmann",1
2,56,4,0,50,"Horstmann",1
2,57,2,0,100,"Horstmann",1
2,58,4,0,50,"Horstmann",1
2,59,4,0,50,"Horstmann",1
2,60,3,0,50,"Horstmann",1
2,61,1,0,100,"Horstmann",1
2,62,4,-250,50,"Horstmann",1
2,63,2,0,100,"Horstmann",1
2,64,3,0,50,"Horstmann",1
2,65,1,-200,100,"Horstmann",1
2,66,3,-50,50,"Horstmann",1
2,67,2,0,100,"Horstmann",1
2,68,2,0,100,"Horstmann",1
2,69,3,0,50,"Horstmann",1
2,70,1,-350,100,"Horstmann",1
2,71,4,0,50,"Horstmann",1
2,72,2,0,100,"Horstmann",1
2,73,4,0,50,"Horstmann",1
2,74,2,0,100,"Horstmann",1
2,75,4,0,50,"Horstmann",1
2,76,2,0,100,"Horstmann",1
2,77,4,0,50,"Horstmann",1
2,78,2,-1250,100,"Horstmann",1
2,79,4,0,50,"Horstmann",1
2,80,3,-50,50,"Horstmann",1
2,81,1,-250,100,"Horstmann",1
2,82,2,0,100,"Horstmann",1
2,83,4,0,50,"Horstmann",1
2,84,2,0,100,"Horstmann",1
2,85,4,0,50,"Horstmann",1
2,86,2,0,100,"Horstmann",1
2,87,4,0,50,"Horstmann",1
2,88,3,-50,50,"Horstmann",1
2,89,4,0,50,"Horstmann",1
2,90,2,0,100,"Horstmann",1
2,91,4,0,50,"Horstmann",1
2,92,2,0,100,"Horstmann",1
2,93,3,0,50,"Horstmann",1
2,94,4,-250,50,"Horstmann",1
2,95,2,-1250,100,"Horstmann",1
2,96,4,0,50,"Horstmann",1
2,97,4,0,50,"Horstmann",1
2,98,2,0,100,"Horstmann",1
2,99,2,0,100,"Horstmann",1
2,100,4,0,50,"Horstmann",1
3,1,4,0,50,"Horstmann",1
3,2,2,0,100,"Horstmann",1
3,3,3,-50,50,"Horstmann",1
3,4,1,-300,100,"Horstmann",1
3,5,4,0,50,"Horstmann",1
3,6,2,-1250,100,"Horstmann",1
3,7,4,0,50,"Horstmann",1
3,8,4,0,50,"Horstmann",1
3,9,4,0,50,"Horstmann",1
3,10,3,-50,50,"Horstmann",1
3,11,1,0,100,"Horstmann",1
3,12,1,-350,100,"Horstmann",1
3,13,1,0,100,"Horstmann",1
3,14,4,0,50,"Horstmann",1
3,15,1,0,100,"Horstmann",1
3,16,4,0,50,"Horstmann",1
3,17,2,0,100,"Horstmann",1
3,18,4,0,50,"Horstmann",1
3,19,2,0,100,"Horstmann",1
3,20,1,0,100,"Horstmann",1
3,21,2,0,100,"Horstmann",1
3,22,3,0,50,"Horstmann",1
3,23,1,-250,100,"Horstmann",1
3,24,1,0,100,"Horstmann",1
3,25,2,0,100,"Horstmann",1
3,26,1,-150,100,"Horstmann",1
3,27,2,0,100,"Horstmann",1
3,28,4,0,50,"Horstmann",1
3,29,2,0,100,"Horstmann",1
3,30,3,0,50,"Horstmann",1
3,31,2,0,100,"Horstmann",1
3,32,3,0,50,"Horstmann",1
3,33,2,0,100,"Horstmann",1
3,34,1,-200,100,"Horstmann",1
3,35,4,-250,50,"Horstmann",1
3,36,2,0,100,"Horstmann",1
3,37,1,0,100,"Horstmann",1
3,38,1,0,100,"Horstmann",1
3,39,2,0,100,"Horstmann",1
3,40,1,-200,100,"Horstmann",1
3,41,2,0,100,"Horstmann",1
3,42,4,0,50,"Horstmann",1
3,43,2,0,100,"Horstmann",1
3,44,4,0,50,"Horstmann",1
3,45,3,0,50,"Horstmann",1
3,46,4,-250,50,"Horstmann",1
3,47,2,0,100,"Horstmann",1
3,48,2,0,100,"Horstmann",1
3,49,2,0,100,"Horstmann",1
3,50,2,-1250,100,"Horstmann",1
3,51,1,-150,100,"Horstmann",1
3,52,4,0,50,"Horstmann",1
3,53,2,0,100,"Horstmann",1
3,54,1,0,100,"Horstmann",1
3,55,2,0,100,"Horstmann",1
3,56,1,-300,100,"Horstmann",1
3,57,2,0,100,"Horstmann",1
